FREQ;GEO;UNIT\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;LT;PC_GDP,0 ,0 ,0 ,0 ,0.004 ,0.003 ,0.003 ,0.003 ,0 ,0.002 ,0.001 ,0 ,0 ,0.001 ,0 ,0.002 ,0.002 ,0.003 
A;LU;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.013 ,0 ,0 ,0 ,0 ,0.001 ,0.002 ,0 ,0 ,0 ,0 
A;MT;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;PC_GDP,0.003 ,0.002 ,0.002 ,0.001 ,0.001 ,0.006 ,0.003 ,0.001 ,0.005 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;PC_GDP,0.007 ,0.007 ,0.007 ,0.006 ,0.006 ,0.006 ,0.009 ,0.001 ,0 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 
A;RO;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;PC_GDP,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0.001 ,0 ,0 ,0 
A;SI;PC_GDP,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP,0.001 ,0.001 ,0.001 ,0.003 ,0.006 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
